,program,identifier,.,[,],var,;,‘’,:,Integer,Boolean,begin,end,:=,read,write,write_literal,if,then,else,while,do,+,-,*,integer_literal,TRUE,FALSE,>,>=,=,<=,<,$,pr,block,var_declaration_section,var_declaration’,var_declaration,identifier’,type,compound_statement,statement’,statement,simple_statement,assignment_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,boolean_literal,boolean_expression
21,,,,r17,r17,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,r22,r22,,r22,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,r23,r23,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,r24,r24,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,r21,r21,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,s48,,,,,,,,,,,,,,,,,,,,,,,,s49,s44,s45,,,,,,,,,,,,,,,,,,,,,,,,,43,46,47,,42,41
30,,s48,,,,,,,,,,,,,,,,,,,,,,,,s49,s44,s45,,,,,,,,,,,,,,,,,,,,,,,,,43,46,47,,42,50
31,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,s33,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,
34,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,r10,r10,r10,,r10,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,s25,,,,,,,,,,s11,,,s26,s27,s28,s29,,,s30,,,,,,,,,,,,,,,,,,,,,24,,53,17,19,20,21,18,22,23,,,,,,,
37,,,r12,r12,r12,,r12,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,s48,,,,,,,,,,,,,,,,,,,,,,,,s49,s44,s45,,,,,,,,,,,,,,,,,,,,,,,,54,55,46,47,,42,56
39,,,,r19,r19,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,r20,r20,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,r40,r40,,r40,,,,,,r40,,,,,,r40,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,s63,s64,,,,,s58,s59,s60,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r38,r38,,r38,,,,,,r38,,,,,,r38,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,r39,r39,,r39,,,,,,r39,,,,,,r39,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,r31,r31,,r31,,,,,,r31,,,,,,r31,,,r31,r31,r31,s65,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,r33,r33,,r33,,,,,,r33,,,,,,r33,,,r33,r33,r33,r33,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,
